Time TemSup TemRet Out On
42082 26.93813477 19.22637329 6.700006104 0
42082.00208 26.96080933 19.2552124 6.674188232 0
42082.00417 26.97713623 19.2802063 6.656304932 0
42082.00625 26.98723755 19.30199585 6.64574585 0
42082.00833 26.99147949 19.32109985 6.641931152 0
42082.01042 26.99035034 19.33803711 6.644219971 0
42082.0125 26.9843689 19.35320435 6.652032471 0
42082.01458 26.97402344 19.36687622 6.664758301 0
42082.01667 26.95983276 19.37926636 6.681756592 0
42082.01875 26.94234619 19.39049683 6.702478027 0
42082.02083 26.922052 19.4006897 6.726251221 0
42082.02292 26.89946899 19.40996704 6.752496338 0
42082.025 26.87511597 19.41838989 6.780633545 0
42082.02708 26.84957275 19.42608032 6.810021973 0
42082.02917 26.82332764 19.43309937 6.840081787 0
42082.03125 26.79689941 19.43953857 6.870141602 0
42082.03333 26.7708374 19.4454895 6.899682617 0
42082.03542 26.74569092 19.45101318 6.928033447 0
42082.0375 26.72197876 19.45620117 6.954614258 0
42082.03958 26.70021973 19.46117554 6.978814697 0
42082.04167 26.68099365 19.4659668 6.999993896 0
42082.04375 22.55178223 19.47585449 7.019677734 0
42082.04583 22.22844849 19.49709473 7.03963623 0
42082.04792 22.09002075 19.52276001 7.059869385 0
42082.05 22.02001343 19.53753052 7.080316162 0
42082.05208 21.97475586 19.52807007 7.100946045 0
42082.05417 21.94002686 19.49395142 7.12166748 0
42082.05625 21.91317139 19.44597778 7.142510986 0
42082.05833 21.89345703 19.39699707 7.163354492 0
42082.06042 21.87911377 19.35518799 7.184197998 0
42082.0625 21.86779175 19.32329712 7.205010986 0
42082.06458 21.85762939 19.30095825 7.225701904 0
42082.06667 21.84755859 19.28655396 7.246240234 0
42082.06875 21.83706055 19.27825317 7.266595459 0
42082.07083 21.82610474 19.27456055 7.286706543 0
42082.07292 21.81463013 19.27410278 7.306573486 0
42082.075 21.80281982 19.27575073 7.326074219 0
42082.07708 21.79073486 19.27874146 7.345239258 0
42082.07917 21.77858887 19.2824646 7.363946533 0
42082.08125 21.76647339 19.28652344 7.382226563 0
42082.08333 21.75447998 19.29070435 7.399987793 0
42082.08542 21.74273071 19.29485474 7.417169189 0
42082.0875 21.73131714 19.29897461 7.433740234 0
42082.08958 21.72026978 19.30303345 7.44979248 0
42082.09167 21.70952759 19.30706177 7.465325928 0
42082.09375 21.69909058 19.31102905 7.480462646 0
42082.09583 21.68889771 19.31502686 7.495263672 0
42082.09792 21.67891846 19.31899414 7.509729004 0
42082.1 21.66915283 19.32296143 7.52401123 0
42082.10208 21.65947876 19.32689819 7.538079834 0
42082.10417 21.64992676 19.33086548 7.552087402 0
42082.10625 21.64040527 19.33477173 7.566033936 0
42082.10833 21.63088379 19.33864746 7.580010986 0
42082.11042 21.62130127 19.34249268 7.594049072 0
42082.1125 21.61165771 19.34627686 7.608239746 0
42082.11458 21.60189209 19.34996948 7.622644043 0
42082.11667 21.59194336 19.35360107 7.637322998 0
42082.11875 21.58178101 19.35708008 7.652337646 0
42082.12083 21.57134399 19.36046753 7.667749023 0
42082.12292 21.56063232 19.36367188 7.683618164 0
42082.125 21.54955444 19.36675415 7.700006104 0
42082.12708 21.53811035 19.36959229 7.716912842 0
42082.12917 21.52633057 19.3722168 7.734307861 0
42082.13125 21.51421509 19.3746582 7.752130127 0
42082.13333 21.50179443 19.37682495 7.770410156 0
42082.13542 21.4890686 19.37874756 7.789056396 0
42082.1375 21.4760376 19.38045654 7.808099365 0
42082.13958 21.46276245 19.38189087 7.827478027 0
42082.14167 21.44924316 19.38311157 7.847192383 0
42082.14375 21.43551025 19.38408813 7.867211914 0
42082.14583 21.42156372 19.38482056 7.887506104 0
42082.14792 21.40743408 19.38536987 7.908044434 0
