0.3	0.06	0.3306866
0.4	0.06	0.41515006
0.5	0.06	0.499613519
0.6	0.06	0.584076978
0.7	0.06	0.668540438
0.8	0.06	0.753003897
0.9	0.06	0.837467356
1	0.06	0.921930816
1.1	0.06	1.006394275
1.2	0.06	1.090857735
1.3	0.06	1.175321194

0.3	0.08	0.356452007
0.4	0.08	0.440915467
0.5	0.08	0.525378926
0.6	0.08	0.609842386
0.7	0.08	0.694305845
0.8	0.08	0.778769304
0.9	0.08	0.863232764
1	0.08	0.947696223
1.1	0.08	1.032159683
1.2	0.08	1.116623142
1.3	0.08	1.201086601

0.3	0.1	0.382217415
0.4	0.1	0.466680874
0.5	0.1	0.551144334
0.6	0.1	0.635607793
0.7	0.1	0.720071252
0.8	0.1	0.804534712
0.9	0.1	0.888998171
1	0.1	0.97346163
1.1	0.1	1.05792509
1.2	0.1	1.142388549
1.3	0.1	1.226852009

0.3	0.12	0.407982822
0.4	0.12	0.492446281
0.5	0.12	0.576909741
0.6	0.12	0.6613732
0.7	0.12	0.74583666
0.8	0.12	0.830300119
0.9	0.12	0.914763578
1	0.12	0.999227038
1.1	0.12	1.083690497
1.2	0.12	1.168153957
1.3	0.12	1.252617416

0.3	0.14	0.433748229
0.4	0.14	0.518211689
0.5	0.14	0.602675148
0.6	0.14	0.687138608
0.7	0.14	0.771602067
0.8	0.14	0.856065526
0.9	0.14	0.940528986
1	0.14	1.024992445
1.1	0.14	1.109455904
1.2	0.14	1.193919364
1.3	0.14	1.278382823

0.3	0.16	0.459513637
0.4	0.16	0.543977096
0.5	0.16	0.628440556
0.6	0.16	0.712904015
0.7	0.16	0.797367474
0.8	0.16	0.881830934
0.9	0.16	0.966294393
1	0.16	1.050757852
1.1	0.16	1.135221312
1.2	0.16	1.219684771
1.3	0.16	1.304148231

0.3	0.18	0.485279044
0.4	0.18	0.569742503
0.5	0.18	0.654205963
0.6	0.18	0.738669422
0.7	0.18	0.823132882
0.8	0.18	0.907596341
0.9	0.18	0.9920598
1	0.18	1.07652326
1.1	0.18	1.160986719
1.2	0.18	1.245450179
1.3	0.18	1.329913638
