Time TemSup TemRet Out On
42082.16875 21.25859985 19.48796997 8.122766113 0
42082.17083 21.24199829 19.48546753 8.147637939 0
42082.17292 21.22417603 19.48272095 8.17434082 0
42082.175 21.20516357 19.47960815 8.202661133 0
42082.17708 21.18502197 19.4760376 8.232415771 0
42082.17917 21.16387329 19.47191772 8.263360596 0
42082.18125 21.14187012 19.4671875 8.2953125 0
42082.18333 21.11916504 19.46181641 8.327996826 0
42082.18542 21.09591064 19.45586548 8.361230469 0
42082.1875 21.07232056 19.44939575 8.394799805 0
42082.18958 21.04851685 19.44243774 8.428460693 0
42082.19167 21.0246521 19.43505249 8.461999512 0
42082.19375 21.00090942 19.42739258 8.495202637 0
42082.19583 20.97747192 19.41945801 8.527886963 0
42082.19792 20.95443115 19.41137085 8.559777832 0
42082.2 20.93197021 19.40322266 8.590661621 0
42082.20208 20.91027222 19.39507446 8.620355225 0
42082.20417 20.88945923 19.38701782 8.648614502 0
42082.20625 20.86968384 19.37911377 8.675256348 0
42082.20833 20.85115967 19.37148438 8.700006104 0
42082.21042 20.83458862 19.36419067 8.721032715 0
42082.2125 20.82097778 19.35744629 8.736993408 0
42082.21458 20.81047974 19.35140381 8.748468018 0
42082.21667 20.80300293 19.34642944 8.756005859 0
42082.21875 20.79836426 19.3427063 8.76015625 0
42082.22083 20.79616699 19.34038696 8.761499023 0
42082.22292 20.7960144 19.33953247 8.760583496 0
42082.225 20.79744873 19.34005127 8.757989502 0
42082.22708 20.80004272 19.34182129 8.754266357 0
42082.22917 20.80330811 19.34462891 8.749993896 0
42082.23125 20.80678711 19.34829102 8.745721436 0
42082.23333 20.81008301 19.35253296 8.741998291 0
42082.23542 20.81276855 19.35714111 8.739404297 0
42082.2375 20.8144165 19.36187134 8.73848877 0
42082.23958 20.81466064 19.36647949 8.739831543 0
42082.24167 20.81307373 19.37075195 8.744012451 0
42082.24375 20.80928955 19.37441406 8.751519775 0
42082.24583 20.80285034 19.37731323 8.762994385 0
42082.24792 20.79345093 19.37920532 8.778955078 0
42082.25 20.78060303 19.37984619 8.800012207 0
42082.25208 20.76439819 19.37902222 8.825463867 0
42082.25417 20.74532471 19.37648926 8.854089355 0
42082.25625 20.72374878 19.37215576 8.885522461 0
42082.25833 20.70003662 19.36602173 8.91942749 0
42082.26042 20.67455444 19.35827026 8.955407715 0
42082.2625 20.6475769 19.34902344 8.993127441 0
42082.26458 20.61940918 19.33849487 9.032189941 0
42082.26667 20.59035645 19.32686768 9.072290039 0
42082.26875 20.56066284 19.31432495 9.113000488 0
42082.27083 20.53057251 19.30098877 9.154016113 0
42082.27292 20.50032959 19.28707275 9.194940186 0
42082.275 20.47020874 19.27266846 9.235437012 0
42082.27708 20.44042358 19.25792847 9.275109863 0
42082.27917 20.41124878 19.24291382 9.313623047 0
42082.28125 20.38286743 19.22768555 9.350610352 0
42082.28333 20.35558472 19.21236572 9.385705566 0
42082.28542 20.32973633 19.19719849 9.418572998 0
42082.2875 20.30559692 19.18236694 9.448815918 0
42082.28958 20.28347168 19.16808472 9.476068115 0
42082.29167 20.26363525 19.15453491 9.499993896 0
42082.29375 28.92821655 19.44420776 9.521844482 0
42082.29583 29.90001831 21.28240356 9.54317627 0
42082.29792 30.23879395 23.57198486 9.564019775 0
42082.3 30.30108032 25.10033569 9.584405518 0
42082.30208 30.24508057 25.88811646 9.604455566 0
42082.30417 30.15020142 26.23900757 9.624200439 0
42082.30625 30.04589233 26.36953125 9.643670654 0
42082.30833 29.92772827 26.402948 9.662957764 0
42082.31042 29.75115356 26.40877686 9.682122803 0
42082.31061 29.72741089 26.40969238 9.68392334 0
42082.31073 24.47667847 26.41903076 9.684991455 0
42082.31073 24.47667847 26.41903076 9.684991455 1
42082.3125 31.48018799 26.35045776 9.701196289 1
42082.31356 31.26815186 26.16158447 9.710870361 1
42082.31458 30.92141113 26.14135132 9.720239258 1
42082.31667 30.50994263 26.48232422 9.739312744 1
42082.31875 30.30678711 26.72542725 9.758477783 1
42082.32083 30.17516479 26.73088989 9.77779541 1
42082.32292 30.0987793 26.64855347 9.79732666 1
42082.325 30.0609375 26.565271 9.817102051 1
42082.32708 30.04302368 26.50542603 9.837213135 1
42082.32917 30.03295288 26.46993408 9.85769043 1
42082.33125 30.02443848 26.45217285 9.878594971 1
42082.33333 30.01491699 26.44494019 9.899987793 1
42082.33542 30.00365601 26.44274292 9.922265625 1
42082.3375 29.99059448 26.44225464 9.945672607 1
42082.33958 29.97615967 26.44179688 9.970056152 1
42082.34167 29.96071777 26.44063721 9.995294189 1
42082.34375 29.94460449 26.43865356 10.02126465 1
42082.34583 29.92800293 26.43587646 10.04775391 1
42082.34792 29.91112671 26.43251953 10.07470093 1
42082.35 29.89406738 26.42873535 10.10192261 1
42082.35208 29.87688599 26.42461548 10.12929688 1
42082.35417 29.85967407 26.42028198 10.15667114 1
42082.35625 29.84255371 26.41576538 10.18392334 1
42082.35833 29.82555542 26.41118774 10.21087036 1
42082.36042 29.80880127 26.40654907 10.23745117 1
42082.3625 29.79235229 26.40194092 10.26345215 1
42082.36458 29.77633057 26.3973938 10.28875122 1
42082.36667 29.76079712 26.39296875 10.31322632 1
42082.36875 29.74581299 26.38869629 10.33672485 1
42082.37083 29.73153076 26.38469849 10.35912476 1
42082.37292 29.71801147 26.38097534 10.38024292 1
42082.375 29.70534668 26.37761841 10.39998779 1
42082.37708 29.69405518 26.37462769 10.41716919 1
42082.37917 29.68474731 26.37209473 10.43084106 1
42082.38 29.681604 26.37124023 10.43535767 1
42082.38125 29.67751465 26.37020264 10.44118652 1
42082.38333 29.67235718 26.36925659 10.44841919 1
42082.38411 29.67092285 26.36916504 10.45037231 1
42082.38542 29.66912231 26.36940918 10.45272217 1
42082.3875 29.66768799 26.37075195 10.45430908 1
42082.38958 29.66793213 26.37328491 10.45336304 1
42082.39167 29.66970215 26.37697754 10.45006714 1
42082.39375 29.67287598 26.38170776 10.44463501 1
42082.39583 29.67727051 26.38744507 10.43728027 1
42082.39792 29.68282471 26.39406738 10.42815552 1
42082.4 29.68935547 26.40151367 10.41750488 1
42082.40208 29.69677124 26.40966187 10.40548096 1
42082.40417 29.70491943 26.41848145 10.39232788 1
42082.40625 29.71373901 26.42785034 10.37816772 1
42082.40833 29.72304688 26.43773804 10.36327515 1
42082.41042 29.73272095 26.44805298 10.34783325 1
42082.4125 29.74266968 26.45870361 10.33199463 1
42082.41458 29.752771 26.46965942 10.3159729 1
42082.41667 29.76287231 26.48079834 10.30001221 1
42082.41875 29.7736145 26.49205933 10.28252563 1
42082.42083 29.78582153 26.50335083 10.26217041 1
42082.42292 29.79958496 26.51494751 10.23925171 1
42082.425 29.81484375 26.52712402 10.21413574 1
42082.42534 29.81746826 26.5291687 10.20983276 1
42082.42534 29.81746826 26.5291687 10.20983276 0
42082.42546 29.81002197 26.52987061 10.20836792 0
42082.42546 29.81279907 26.52990112 10.20830688 0
42082.42708 29.83001099 26.53997192 10.18718872 0
42082.42917 29.84789429 26.55336914 10.15871582 0
42082.43125 29.86644897 26.56762085 10.12914429 0
42082.43333 29.88555298 26.58278809 10.09874878 0
42082.43542 29.90496216 26.59865723 10.06792603 0
42082.4375 29.92443237 26.61504517 10.03701172 0
42082.43958 29.94378052 26.63170776 10.00637207 0
42082.44167 29.96273193 26.64849243 9.976312256 0
42082.44375 29.98113403 26.66518555 9.947229004 0
42082.44583 29.99874268 26.68172607 9.919458008 0
42082.44792 30.01534424 26.69796143 9.893334961 0
42082.45 30.0307251 26.71373901 9.869256592 0
42082.45208 30.04467163 26.72896729 9.847528076 0
42082.45417 30.05697021 26.74349365 9.828485107 0
42082.45625 30.06737671 26.75719604 9.812524414 0
42082.45833 30.07567749 26.76992188 9.800012207 0
42082.46042 30.08217773 26.78154907 9.790063477 0
42082.4625 30.08742676 26.79195557 9.781610107 0
42082.46458 30.09163818 26.80120239 9.774560547 0
42082.46667 30.09493408 26.80941162 9.768884277 0
42082.46875 30.09740601 26.81682739 9.764459229 0
42082.47083 30.09905396 26.82354126 9.761224365 0
42082.47292 30.09996948 26.82958374 9.759118652 0
42082.475 30.10009155 26.83501587 9.758081055 0
42082.47708 30.09954224 26.83986816 9.757989502 0
42082.47917 30.09832153 26.84417114 9.758782959 0
42082.48125 30.09642944 26.84789429 9.760430908 0
42082.48333 30.09395752 26.85100708 9.762811279 0
42082.48542 30.09090576 26.85354004 9.765863037 0
42082.4875 30.08733521 26.85546265 9.769525146 0
42082.48958 30.08327637 26.85683594 9.773736572 0
42082.49167 30.07879028 26.85769043 9.778375244 0
42082.49375 30.07390747 26.85802612 9.783410645 0
42082.49583 30.06865845 26.85790405 9.788720703 0
42082.49792 30.06310425 26.8572937 9.794274902 0
42082.5 30.05724487 26.8562561 9.800012207 0
42082.50208 30.05065308 26.85485229 9.80690918 0
42082.50417 30.04281006 26.85314331 9.815911865 0
42082.50625 30.03353271 26.85100708 9.826837158 0
42082.50833 30.0229126 26.84816895 9.839440918 0
42082.51042 30.01094971 26.84447632 9.853540039 0
42082.5125 29.99779663 26.83983765 9.868920898 0
42082.51458 29.9835144 26.83425293 9.885339355 0
42082.51667 29.96819458 26.82781372 9.902642822 0
42082.51875 29.95189819 26.82055054 9.920556641 0
42082.52083 29.93465576 26.81261597 9.938928223 0
42082.52292 29.91643677 26.80407104 9.957513428 0
42082.525 29.89721069 26.79500732 9.976098633 0
42082.52708 29.87685547 26.78563843 9.994500732 0
42082.52917 29.85512695 26.77614746 10.01247559 0
42082.53125 29.83165894 26.76680908 10.02984009 0
42082.53333 29.80584106 26.75808105 10.04638062 0
42082.53542 29.77663574 26.75048218 10.06188354 0
42082.5375 29.7421814 26.74492798 10.07610474 0
42082.53958 29.69924316 26.74279175 10.0888916 0
42082.54167 29.64141235 26.7463623 10.1 0
42082.54313 29.58498535 26.75441895 10.10598145 0
42082.54375 29.55513916 26.75975952 10.10778198 0
42082.54583 29.40609131 26.79018555 10.11089478 0
42082.54792 29.10100708 26.84667358 10.10949097 0
42082.55 28.44735107 26.86394653 10.10384521 0
42082.55208 27.90908203 26.66674194 10.09411011 0
42082.55417 27.525354 26.31127319 10.08052979 0
42082.55625 27.26027832 25.95580444 10.06328735 0
42082.55833 27.08275757 25.67064819 10.04259644 0
42082.56042 26.9666687 25.46203003 10.01864014 0
42082.5625 26.88933716 25.31646118 9.991662598 0
42082.56458 26.83010254 25.2171875 9.961846924 0
42082.56667 26.77028809 25.1479126 9.929406738 0
42082.56875 26.69487915 25.0934082 9.894525146 0
42082.57083 26.59465942 25.04012451 9.857446289 0
42082.57292 26.46724854 24.97734985 9.818353271 0
42082.575 26.31646118 24.89837036 9.777459717 0
42082.57708 26.15053711 24.80101929 9.734979248 0
42082.57917 25.9793335 24.68743286 9.691094971 0
42082.58125 25.81203613 24.56276855 9.646051025 0
42082.58333 25.6553894 24.43352661 9.6 0
42082.58542 25.51290283 24.30584106 9.53850708 0
42082.5875 25.38509521 24.18435059 9.449243164 0
42082.58958 25.26995239 24.07164917 9.335473633 0
42082.59167 25.16393433 23.96828613 9.200616455 0
42082.59375 25.06307373 23.87316284 9.047967529 0
42082.59441 25.03145752 23.84429321 8.996240234 0
42082.59453 22.12590942 23.83928833 8.987084961 0
42082.59453 22.12590942 23.83928833 8.987084961 1
42082.59583 29.36742554 23.74746094 8.880883789 1
42082.59669 31.67870483 23.73134766 8.809014893 1
42082.59792 32.20662842 24.08321533 8.702752686 1
42082.6 31.59026489 25.61696777 8.5168396 1
42082.60208 31.41408691 26.96386108 8.3265625 1
42082.60417 31.33101807 27.54708252 8.135217285 1
42082.60421 31.32988892 27.55291138 8.131555176 1
42082.60625 31.30330811 27.7081543 7.946191406 1
42082.60833 31.33461914 27.73162231 7.762780762 1
42082.61042 31.40551147 27.7305542 7.588372803 1
42082.6125 31.49404297 27.7418457 7.426293945 1
42082.61458 31.58452759 27.77263794 7.279870605 1
42082.61667 31.66744385 27.8182312 7.152490234 1
42082.61875 31.73739014 27.87087402 7.04744873 1
42082.62083 31.79143677 27.92363892 6.968133545 1
42082.62292 31.82753906 27.97167358 6.917871094 1
42082.625 31.84414063 28.0118042 6.899987793 1
42082.62708 31.84569702 28.04207764 6.903161621 1
42082.62917 31.84023438 28.0616394 6.913262939 1
42082.63125 31.83001099 28.07177124 6.929620361 1
42082.63333 31.81636963 28.07497559 6.9515625 1
42082.63542 31.80007324 28.07348022 6.978387451 1
42082.6375 31.78151855 28.06871948 7.009423828 1
42082.63958 31.76101074 28.06157837 7.043969727 1
42082.64167 31.73882446 28.05257568 7.081323242 1
42082.64375 31.71532593 28.04204712 7.120843506 1
42082.64583 31.69088135 28.03023682 7.161798096 1
42082.64792 31.66588745 28.01744995 7.203546143 1
42082.65 31.640802 28.0041748 7.245324707 1
42082.65208 31.61596069 27.99065552 7.286523438 1
42082.65417 31.59182129 27.97719727 7.326409912 1
42082.65625 31.56871948 27.96392212 7.364312744 1
42082.65833 31.54711304 27.95107422 7.399560547 1
42082.66042 31.52736816 27.93883667 7.431420898 1
42082.6625 31.50994263 27.92745361 7.45925293 1
42082.66458 31.49526367 27.91713867 7.482324219 1
42082.66667 31.48369751 27.9081665 7.499993896 1
42082.66875 31.47423706 27.9012085 7.515344238 1
42082.67083 31.4649292 27.89666138 7.531671143 1
42082.67292 31.45534668 27.89385376 7.548638916 1
42082.675 31.44539795 27.89177856 7.565881348 1
42082.67708 31.4352356 27.88985596 7.583093262 1
42082.67917 31.42510376 27.88781128 7.599938965 1
42082.68125 31.41530762 27.88561401 7.616021729 1
42082.68333 31.40603027 27.88338623 7.631005859 1
42082.68542 31.3975769 27.88131104 7.644555664 1
42082.6875 31.39013062 27.87947998 7.656335449 1
42082.68958 31.38387451 27.87789307 7.665979004 1
42082.69167 31.37896118 27.8762146 7.673181152 1
42082.69375 31.37560425 27.87444458 7.677514648 1
42082.69583 31.37410889 27.87270508 7.678704834 1
42082.69792 31.3746582 27.87124023 7.676385498 1
42082.7 31.37752686 27.87029419 7.670220947 1
42082.70208 31.38289795 27.87008057 7.659844971 1
42082.70417 31.39098511 27.87081299 7.644891357 1
42082.70625 31.40200195 27.87270508 7.625085449 1
42082.70833 31.41613159 27.87593994 7.6 1
42082.71042 31.43633423 27.8802124 7.562524414 1
42082.7125 31.4661499 27.88561401 7.507043457 1
42082.71458 31.50579224 27.89360962 7.435418701 1
42082.71667 31.55458984 27.90593872 7.349603271 1
42082.71875 31.61150513 27.9236084 7.25145874 1
42082.72083 31.67519531 27.94674072 7.142938232 1
42082.72292 31.74434814 27.975 7.02590332 1
42082.725 31.81768188 28.00783691 6.902307129 1
42082.72708 31.89397583 28.04442749 6.77401123 1
42082.72731 31.90255127 28.04869995 6.759576416 1
42082.72731 31.90255127 28.04869995 6.759576416 0
42082.72743 31.89550171 28.05083618 6.75234375 0
42082.72744 31.90044556 28.05092773 6.752069092 0
42082.72917 31.9704834 28.08394775 6.64296875 0
42082.73125 32.04949341 28.12548218 6.511071777 0
42082.73333 32.12789307 28.16881714 6.380212402 0
