time	MetEireann	Belturbet	Clones
636	6.9	7.255	2.9
639	6.5	6.503333333	3.1
642	8.1	7.811666667	3.2
645	8.6	8.231666667	4.6
648	7.2	7.668333333	4.1
651	1.7	2.9	4.7
654	1.1	2.41	5.4
657	4	3.731666667	5.4
660	1.4	2.87	5.6
663	1.2	1.94	6
666	0.8	1.728333333	6
669	0.5	1.535	5
672	0.5	1.638333333	3.8
675	0.2	1.091666667	3.6
678	0.9	2.31	5.3
681	1.9	2.963333333	4.3
684	1.5	2.381666667	3
687	2.3	2.68	2.3
690	3.3	3.445	2.5
693	2.7	3.175	3.1
696	4	4.038333333	3.5
699	2.9	3.566666667	4
702	4.3	5.036666667	3.8
705	5	5.78	3.1
708	1.9	3.05	3.1
711	1.8	2.346666667	3.5
714	2.1	1.826666667	3.6
717	2.6	2.375	2.1
720	1.6	1.771666667	1.7
723	1.3	1.115	2
726	2.4	2.245	4.1
729	2.8	4.078333333	3.1
732	1.8	2.025	3
735	0.7	1.538333333	4.4
738	1.1	1.306666667	4
741	0.6	0.546666667	3.4
744	0.4	0.233333333	4.4
747	1.8	1.805	5.9
750	3.8	3.945	5.7
753	2.9	4.22	6.5
756	-0.7	1.805	7.1
759	-1.7	1.593333333	7.3
762	-1.5	0.583333333	8.4
765	-1.5	0.511666667	7.5
768	-1.5	0.635	7.5
771	2.4	3.091666667	12
774	2.5	3.49	9.8
777	-1.4	2.045	8.8
780	-2.6	0.661666667	8.5
783	-3	0.07	7
786	-2.6	0.266666667	5.8
789	-2.9	-0.65	3.4
792	-1.9	0.096666667	3.7
795	1.9	2.578333333	8.6
798	2.3	2.455	6.6
801	0.7	1.411666667	3.7
804	-0.8	0.255	2.2
807	-2.6	-0.935	2.6
810	-2.2	-1.313333333	2.6
813	-3.8	-1.401666667	3.6
816	-2.5	-0.515	6.4
819	3.6	3.278333333	7.5
822	4.2	4.895	8
825	1.2	2.981666667	7.9
828	0.1	2.601666667	8.3
831	0.8	2.873333333	9.3
834	1.1	2.3	9.4
837	0.4	2.451666667	9
