Time TemSup TemRet Out On
42082 26.93554077 18.71572266 6.7978814697 1
42082.00208 26.95882568 18.72887573 6.674188232 1
42082.00417 26.97567139 18.74215088 6.656304932 1
42082.00625 26.98616943 18.75545654 6.64574585 1
42082.00833 26.99074707 18.76876221 6.641931152 1
42082.01042 26.98989258 18.78197632 6.644219971 1
42082.0125 26.98409424 18.79503784 6.652032471 1
42082.01458 26.97390137 18.80791626 6.664758301 1
42082.01667 26.95983276 18.8204895 6.681756592 1
42082.01802 26.94884644 18.82848511 6.694818115 1
42082.01802 26.94884644 18.82848511 6.694818115 0
42082.01814 26.94527588 18.82915649 6.696008301 0
42082.01817 26.9460083 18.8293396 6.696343994 0
42082.01875 26.94158325 18.83272705 6.702478027 0
42082.02083 26.92165527 18.84462891 6.726251221 0
42082.02292 26.89922485 18.856073 6.752496338 0
42082.025 26.87496338 18.86708984 6.780633545 0
42082.02708 26.8494812 18.87764893 6.810021973 0
42082.02917 26.82329712 18.88775024 6.840081787 0
42082.03125 26.79692993 18.89736328 6.870141602 0
42082.03333 26.77089844 18.90651855 6.899682617 0
42082.03542 26.74575195 18.9152771 6.928033447 0
42082.0375 26.72207031 18.92363892 6.954614258 0
42082.03958 26.7003418 18.93166504 6.978814697 0
42082.04167 26.68111572 18.9394165 6.999993896 0
42082.04375 26.66347656 18.94689331 7.019677734 0
42082.04583 26.64580688 18.95415649 7.03963623 0
42082.04792 26.62798462 18.96123657 7.059869385 0
42082.05 26.60997925 18.96816406 7.080316162 0
42082.05208 26.59182129 18.97493896 7.100946045 0
42082.05417 26.57354126 18.98165283 7.12166748 0
42082.05625 26.5552002 18.98827515 7.142510986 0
42082.05833 26.53676758 18.99480591 7.163354492 0
42082.06042 26.51836548 19.00127563 7.184197998 0
42082.0625 26.49996338 19.00771484 7.205010986 0
42082.06458 26.48165283 19.01409302 7.225701904 0
42082.06667 26.46343384 19.02034912 7.246240234 0
42082.06875 26.44539795 19.02654419 7.266595459 0
42082.07083 26.42751465 19.03273926 7.286706543 0
42082.07292 26.40990601 19.03890381 7.306573486 0
42082.075 26.3925415 19.04506836 7.326074219 0
42082.07708 26.37548218 19.05120239 7.345239258 0
42082.07917 26.35878906 19.05727539 7.363946533 0
42082.08125 26.34249268 19.06334839 7.382226563 0
42082.08333 26.32662354 19.06936035 7.399987793 0
42082.08542 26.31124268 19.07537231 7.417169189 0
42082.0875 26.29641113 19.08141479 7.433740234 0
42082.08958 26.28203735 19.08745728 7.44979248 0
42082.09167 26.26812134 19.09353027 7.465325928 0
42082.09375 26.25457153 19.09966431 7.480462646 0
42082.09583 26.24135742 19.10582886 7.495263672 0
42082.09792 26.22838745 19.11205444 7.509729004 0
42082.1 26.21566162 19.11831055 7.52401123 0
42082.10208 26.20308838 19.12462769 7.538079834 0
42082.10417 26.19060669 19.13097534 7.552087402 0
42082.10625 26.17815552 19.13735352 7.566033936 0
